apk_entry,sha256,maven_coordinate,aar_entry,aar_sha256
"lib/arm64-v8a/libxplat_wearable_warp_utils_event_eventAndroid.so","e486c8aa2628bb597b792f7f5d8dac1bcd39f32deeba122b04e5282871560fe9","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_event_eventAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_h265_parser_null_h265_parser_nullAndroid.so","d8a3097d0c1a3afa1853544cb39676c411d3d61bdd981a47a5ba0f4e54d0bb5d","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_h265_parser_null_h265_parser_nullAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_json_jsonAndroid.so","db5e3c054ff48290e80da85e1665a9a5cc0a59140bb66a593f221c33667b6afa","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_json_jsonAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_log_logAndroid.so","9f7d4c868749e2f99cb1bd53c3138aed559346428ba73753be2e886dfdc30fc3","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_log_logAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_math_mathAndroid.so","8ca2a6594552f878ccd73faf50f6d84257cd0394b277681eb97d9e8b676df3e4","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_math_mathAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_memory_memoryAndroid.so","e43a05a0eeaff2811c7998149f4e05d727e6db33cc065dec4fa1a2be6f99b77b","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_memory_memoryAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_threads_platform_thread_scopeAndroid.so","0c54b16d3e1d53f5c8a33c00c38a8f24e98f8917401af81c425a62086b6e2484","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_threads_platform_thread_scopeAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_threads_threadsAndroid.so","f693603e8076ed9b09a0621936e65a405b0a60afccee790f941ce652617f8641","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_threads_threadsAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_warp_utils_tslog_null_engine_tslog_null_engineAndroid.so","938fac42ca51c1c383dc38be70eba68ea84c4ffefba5695fa49c1fa5d9808e1a","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_warp_utils_tslog_null_engine_tslog_null_engineAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
"lib/arm64-v8a/libxplat_wearable_xms_api_serviceAndroid.so","a8180bded3ab516dc4717b9017beb0a862214e3993dff3c83a5ad854e0d74769","com.meta.wearable:mwdat-camera:0.8.0","jni/arm64-v8a/libxplat_wearable_xms_api_serviceAndroid.so","e8b00fd7d1e412f7ff281c832b6e5773d4715baa879955bd783f0ad94656a67f"
